username,tanggal_ulasan,komentar,processed_komentar,Polarity Score,Sentimen
Damar n The Flock,7 bulan lalu,"Pelayanan baik, cepat tanggap. Waiting time great! Datang di awal resto buka, ada bbrp menu yg belum/tdk ready. Lumayan pricey tp worth it.",layan cepat tanggap waiting time great resto buka bbrp menu yg tdk ready lumayan pricey tp worth it,6,Positif
Arum Safitri,7 bulan lalu,"Enak, fresh juga..
Anakku suka..
Tapi untuk harga lumayan... …",enak fresh anak suka harga lumayan,0,Netral
Sh Tobing,7 bulan lalu,Besar...,,0,Netral
Lothar albert Cristian Hutapea,7 bulan lalu,Muantulll,muantulll,0,Netral
Yustica Soetipto,7 bulan lalu,"Resto favorit ibuku.
Penjaga keamanan memperlakukan pelanggan senior dengan perlakuan baik hati.
Saya menyukainya dan terima kasih banyak!",resto favorit ibu jaga aman laku langgan senior laku hati suka terima kasih,3,Positif
Agus Kristiawan,7 bulan lalu,"Tempatnya nyaman, rasa nya mantap..👍 …",tempat nyaman nya mantap,6,Positif
Intan Kusuma Wulandari,8 bulan lalu,Cukup tenang. Suka dengan dagingnya yang segar. Tapi biasanya tempatnya ramai dan aku masuk waiting list hehe. Saya akan merekomendasikan Salmon Sashimi.,tenang suka daging segar tempat ramai masuk waiting list hehe rekomendasi salmon sashimi,2,Positif
Ani Fathudin,8 bulan lalu,"sy mengantar tamu, makan malam",sy antar tamu makan malam,-1,Negatif
Tom Gembuz,8 bulan lalu,Kalo driver gak boleh nunggu didalam .kasih driver kasir diluar.jangan ngambil nota didalm terus suruh nunggu diluar.emang driver kesitu kagak mbayar.contoh hokben.mcdy.kfc.lebih menghargai driver online daripada resto anda,kalo driver gak nunggu dalam kasih driver kasir luar ngambil nota didalm suruh nunggu luar emang driver kesitu kagak mbayar contoh hokben mcdy kfc harga driver online resto,4,Positif
Jatmiko,8 bulan lalu,Suasananya cozy dan makanannya enak,suasana cozy makan enak,5,Positif
Marmut Rampage,8 bulan lalu,Best sushi in town!!! Wajib cobain salmon kazan sushi!!! Jo unagi juga!!!,best sushi in town wajib cobain salmon kazan sushi jo unagi,-2,Negatif
Ms Choco,8 bulan lalu,"Ramah, service excellent
Waiting list nya enggk terlalu lama, makanannya enak",ramah service excellent waiting list nya enggk makan enak,3,Positif
Tatiana Almond,8 bulan lalu,Makanannya tidak segar.,makan segar,4,Positif
Axel T.,8 bulan lalu,Teman-teman premium...,teman teman premium,2,Positif
Griselda Malora,8 bulan lalu,Sushi tei memang selalu enak :),sushi tei enak,1,Positif
Delta Setiyarini,8 bulan lalu,"Mantapss banget pokoknya makan disini. Sashiminya kerasa banget segernya.
Pas kesana pas ada momen yang ultah dan dapet gift sushi ada lilinnya lucu banget hihihiw",mantapss banget pokok makan sashiminya rasa banget segernya pas kesana pas momen ultah dapet gift sushi lilin lucu banget hihihiw,4,Positif
anang atmojo,8 bulan lalu,Ughhh,ughhh,0,Netral
Ujang Zakaria,8 bulan lalu,Layanannya luarbiasa...masakannya enak bagi yg suka....harganya bintang 5,layan luarbiasa masakan enak yg suka harga bintang,9,Positif
Anon Bob,8 bulan lalu,Kualitas sushi sangat buruk dan sepertinya terlalu mahal untuk rasanya. Terlalu banyak mayo dan ikan hambar. Sushi yang dibeli dari mal setempat akan terasa lebih enak dari ini.,kualitas sushi buruk mahal mayo ikan hambar sushi beli mal enak,-3,Negatif
Lyra Reffalia Ratna k.,8 bulan lalu,enak mantap sedap,enak mantap sedap,11,Positif
Mukmin Arissanto,8 bulan lalu,Tolong buat manajer sushi tei jalan afandi Yogyakarta untuk orderan online tolong di buatin dulu jangan nunggu driver datang kasihan Driver ya kalau dapatnya jauh makin lama ninggu orderanya makasih,tolong manajer sushi tei jalan afandi yogyakarta order online tolong buatin nunggu driver kasihan driver ya dapat ninggu orderanya makasih,12,Positif
Qowama Faza,8 bulan lalu,Rekomended pokok nya👍💯 …,rekomended pokok nya,0,Netral
Tyas Millati,8 bulan lalu,Anda tidak perlu pergi ke mal,pergi mal,-2,Negatif
Ajeng Kinasih,8 bulan lalu,Anda pergi ke tempat sushi di kota - jika Anda memiliki anggaran (tidak terlalu ekonomis untuk makanan sehari-hari). Layanannya luar biasa - setelah saya memesan makanan untuk dibawa pulang dan sayangnya kualitasnya di bawah standar hari …,pergi sushi kota milik anggar ekonomis makan hari layan mes makan bawa pulang sayang kualitas standar,4,Positif
Yana Oktaviana,8 bulan lalu,"sushi tei emang the best place to eat sushi. gausah diaraguin lagi lengkap bgt dari appetizer, nigiri, sashimi, sushi roll, sampe dessert pun ada. appetizer aku coba miso soup sama tamagoyaki nya yang enak bgttt manis creamy. tapi untuk …",sushi tei emang the best place to eat sushi gausah diaraguin lengkap bgt appetizer nigiri sashimi sushi roll sampe dessert appetizer coba miso soup tamagoyaki nya enak bgttt manis creamy,0,Netral
El Marco,9 bulan lalu,Enak joss mantap,enak joss mantap,6,Positif
idola hadi,9 bulan lalu,"Saya hanya bisa makan sushi di sini, tidak ada tempat yang terasa lebih enak",makan sushi enak,1,Positif
Lucia A.,9 bulan lalu,"Pertama kali mencoba ke sushi tei.

Makanan: …",kali coba sushi tei makan,1,Positif
Bale Tentram Homestay,9 bulan lalu,Yummy bangettt,yummy bangettt,0,Netral
Asarizq Fatihah Rasjava,9 bulan lalu,"Sushi ter-worth it yang pernah aku coba. Selalu ada special offer tiap kesana. Jadi langganan kalau lagi ultah, buat claim sushi gratisnya 🍣🍤 …",sushi ter worth it coba special offer kesana langgan ultah claim sushi gratis,8,Positif
Ro'ul Hikmahsari,9 bulan lalu,"Pertama kali ke sushi tei, suka sekalii dg menu-menunya, pelayanannya, dan tempatnyaa",kali sushi tei suka sekali dg menu menu layan tempatnyaa,1,Positif
chus batara,9 bulan lalu,"Join ayce disini dan worth to rejoin sih. Ditambah dikasih suprise birthday cake. Kali ini semuanya fresh. Jangan downgrade lg ya, pertahankan!",join ayce worth to rejoin sih tambah kasih suprise birthday cake kali fresh downgrade lg ya tahan,10,Positif
Kuwat Budisantoso,9 bulan lalu,"Kamar bersih dan bagus, cuma satpam kurang ramah ke pengguna motor, saya menginap lama naik motor tapi tiap hari sambutannya tdk ramah sekali, padahal naik motor, mobil bayar nya sama.",kamar bersih bagus satpam ramah guna motor inap motor sambut tdk ramah motor mobil bayar nya,7,Positif
Jean pierre Pons,9 bulan lalu,"Tanpa alkohol, bahkan bir Jepang pun tidak",alkohol bir jepang,-5,Negatif
Septo Sulistyo,9 bulan lalu,Padahal didalem kosong ojol disuruh nunggu diluar,dalem kosong ojol suruh nunggu luar,-7,Negatif
Satrio wcs,9 bulan lalu,"Sudah menjadi customer Sushi Tei di berbagai kota di Indonesia tetapi disinilah yg paling mengecewakan. Butuh waktu krg lebih 1 jam utk semua pesanan jadi. Butuh komplain berkali kali bahkan sampai memanggil manager utk pesanan datang. Ketika makanan sampai, sudah terlanjur badmood dan tdk bisa menikmati makanan.",customer sushi tei kota indonesia yg kecewa butuh krg jam utk pesan butuh komplain kali kali panggil manager utk pesan makan lanjur badmood tdk nikmat makan,-19,Negatif
Ghani G Garaudy,9 bulan lalu,Sushi Tei emang udah nggak perlu diragukan. Udah nggak ada lagi yang perlu dikomentari. Selain rasa puas yang luar biasa.,sushi tei emang udah nggak ragu udah nggak komentar puas,2,Positif
Intan TK,9 bulan lalu,Tempatnya enak dan nyaman,tempat enak nyaman,2,Positif
Bella Aprialim,9 bulan lalu,"Pelayanan memuaskan, soal rasa jgn di tanya enak banget as always mantapp",layan muas jgn enak banget as always mantapp,5,Positif
M Lukman K,9 bulan lalu,Makanan enak,makan enak,1,Positif
Syifa Alea,9 bulan lalu,sushi nya super enakkkk!! ambience nya bagus and comfy.,sushi nya super enakkkk ambience nya bagus and comfy,-1,Negatif
Rini Syifa,9 bulan lalu,Suka banget sama tempatnyaaaa .... bersih dan pelayannanya okeeeee beut,suka banget tempatnyaaaa bersih pelayannanya okeeeee beut,1,Positif
Arifa Yuliyana,9 bulan lalu,Tempatnya nyaman sekali,tempat nyaman,1,Positif
Nurmas Ramadhan,9 bulan lalu,"Pesanan terlalu lama
Hanya pesan 1 item saja waktu tunggu set jam lebih",pesan pesan item tunggu set jam,-7,Negatif
Anggraeni Anggraeni,9 bulan lalu,Tempat bagus dan porsi bagus,bagus porsi bagus,0,Netral
Alice Keys,9 bulan lalu,Staf Rama,staf rama,3,Positif
Sony Adam Saputra,9 bulan lalu,"Akhirnya aku memberanikan diri untuk sendirian ke sini. Iya, sendirian. Turns out ternyata ada juga kok yang sendirian juga. It's normal jebul, sing penting duwe dit saja. Nggak shock karena memang sudah berekspektasi begitu. Satu plate …",berani iya turns out it s normal jebul sing duwe dit nggak shock berekspektasi plate,7,Positif
Rosvi Khansa Windi Bahari,9 bulan lalu,"Pelayanan sangat ramah, suasana juga sangat cozy dan mendukung, sangat cocok utk makan bersama keluarga",layan ramah suasana cozy dukung cocok utk makan keluarga,12,Positif
M Syaikhul Arif,9 bulan lalu,Sepadan dengan harganya,padan harga,3,Positif
yunianto tri nugroho,9 bulan lalu,Layanan luar biasa,layan,0,Netral
Nurul Karima Eva Dewi,9 bulan lalu,Tempat nyaman dan pelayanan baik,nyaman layan,4,Positif
Suci Puspita Sari,9 bulan lalu,pelayanan sangat ramah tempatnya juga bagus dan bersih,layan ramah tempat bagus bersih,-3,Negatif
Amirul Ikhsan,9 bulan lalu,Tempat yang bagus dan makanan lezat,bagus makan lezat,3,Positif
Ken Nindyasmara,9 bulan lalu,restoran favorit saya. Menu sangat enak. Favorite saya adalah salad kanimayo dengan sesame dressing. Pelayanan sangat ramah dan baik. Suasana Sushi Tei sangat mendukung untuk me time atau family time.  Sushi tei emang tiada duanya,restoran favorit menu enak favorite salad kanimayo sesame dressing layan ramah suasana sushi tei dukung me time family time sushi tei emang tiada dua,5,Positif
Gunung Maharddhika,9 bulan lalu,"makanan sudah pasti berkualitas, suasananya enak dan desain interiornya juga baguss",makan kualitas suasana enak desain interior baguss,13,Positif
Susan Agustina,9 bulan lalu,Selalu bagus. Salah satu restoran favorit kami.,bagus salah restoran favorit,-10,Negatif
Sonia Prabowo,9 bulan lalu,Sushi Tei kan selalu jadi pilihan terpercaya keluarga kami ❤,sushi tei pilih percaya keluarga,1,Positif
Nany Sarif,9 bulan lalu,Sushitei Amplaz ..suasana nyaman banget n staf yg melayani ramah sekali n namanya Grace,sushitei amplaz suasana nyaman banget n staf yg layan ramah n nama grace,9,Positif
Sutantri Sutantri,9 bulan lalu,Suka makanan dan tempatnya! Sangat nyaman!,suka makan tempat nyaman,3,Positif
rizky imansari,9 bulan lalu,Tempatnya nyaman sekali. Pelayanannya juga ramah dan sangan menyenangkan,tempat nyaman layan ramah sangan senang,4,Positif
Luni Aulia,9 bulan lalu,"Makanannya selalu enak, fresh, dan pelayanannya sangat baik. Resto juga sangat cantik",makan enak fresh layan resto cantik,-3,Negatif
DOTA,9 bulan lalu,"Ambience nya unik, staff nya ramah, good job",ambience nya unik staff nya ramah good job,7,Positif
Sals,9 bulan lalu,Tempat luas dan nyaman banget. Kesini juga mau claim birthday sushi dan dapetnya satu sushi gitu beda kayak sushi tei yang dijakarta tapi gapapa sama2 enak semua. Pelayanan juga ramah banget dan gak terlalu lama nunggu pesanan dateng. Bisa request dessertnya diakhir,luas nyaman banget kesini claim birthday sushi dapetnya sushi gitu beda kayak sushi tei dijakarta gapapa enak layan ramah banget gak nunggu pesan dateng request dessertnya akhir,4,Positif
Yiska R.,9 bulan lalu,Sushi Tei tempat makan Jepang yang enak banget pokoknya! Semua pelayanannya dikerjakan dengan ramah.,sushi tei makan jepang enak banget pokok layan ramah,2,Positif
christina paramita,9 bulan lalu,"Gak ada deretan sushi di sushi bar spt sushi tei lainnya. Nunggunya sgt lama, katanya ada mslh kompor.. hemmm",gak deret sushi sushi bar spt sushi tei nunggunya sgt mslh kompor hemmm,-4,Negatif
langit ramadhan,10 bulan lalu,"Soal rasa itu selera, mungkin pas apesnya dapat isi makanan yg tidak segar ingredientnya, ntah karna handling penyimpanan bahannya tidak benar. Kuah ramennya enak, gurih, dapat rasa lautnya, sayang bagian toppingnya (yg modelan pola naruto) …",selera pas apes isi makan yg segar ingredientnya ntah karna handling simpan bahan kuah ramennya enak gurih laut sayang toppingnya yg model pola naruto,4,Positif
drh. Agus Riyanto,10 bulan lalu,Bagus...,bagus,-2,Negatif
Sari Purna Wati,10 bulan lalu,"Ada beragam menu,, bikin bingung sepertinya enak semua.",agam menu bikin bingung enak,6,Positif
Titus Anggito,10 bulan lalu,"Kualitas makanan dan layanan sesuai dengan harga yang kita bayarkan...
Makanannya semua enak.. tempatnya nyaman....",kualitas makan layan sesuai harga bayar makan enak tempat nyaman,10,Positif
Dea Florensia,10 bulan lalu,"Suasana enak dan nyaman, ambiencenya beda sm yg di dalem mall",suasana enak nyaman ambiencenya beda sm yg dalem mall,5,Positif
doni febria,10 bulan lalu,Tempat makan Jepang terbaik. Sushi dan sashimi nya komplit dan segar. Terbaik pokok nya,makan jepang baik sushi sashimi nya komplit segar baik pokok nya,8,Positif
Warsono Hadisubroto,10 bulan lalu,"Sebenernya enak. Enak banget, bahkan.

Tapi mahal. Serasa ke Jepang bolak-balik buat makan sushi. Tentu ini hiperbolik …",sebenernya enak enak banget mahal serasa jepang bolak makan sushi hiperbolik,2,Positif
agustina setyaningrum,10 bulan lalu,Menunya semakin variatif and the best sushi in jogja 😊 …,menu variatif and the best sushi in jogja,0,Netral
Dewi Anurogo,10 bulan lalu,"Makan pas auce. Mantap sih,",makan pas auce mantap sih,8,Positif
Aram Roquas,10 bulan lalu,"Banyak pilihan makanan berkualitas yang merupakan satu-satunya kelebihannya. Selain itu, sangat mahal untuk pengalamannya. Dengan interior yang sangat hambar dan cara mereka menempelkan tanda terima kertas di meja Anda untuk melacak makanan …",pilih makan kualitas satu lebih mahal alam interior hambar tempel tanda terima kertas meja lacak makan,4,Positif
Yosefin Ekaristi,10 bulan lalu,Sushi salmon dengan cakalang abon sangat asin tetapi makanan lainnya sangat enak. Pelayanannya juga bagus.,sushi salmon cakalang abon asin makan enak layan bagus,-5,Negatif
Regina Stefani,10 bulan lalu,"LayananNy paling suka, dijelasin semua promo2 dan diskon. Apalagi pas ada all u can eat kan ruame, tapi semua pelayanannya sesuai biasanya. Tdk ada yg berubah👍👍👍 salut skali …",layananny suka dijelasin promo diskon pas all u can eat ruame layan sesuai tdk yg ubah salut skali,13,Positif
Rista Sanjaya,10 bulan lalu,Comfort choice kalau nyari sushi. Menariknya di sushi tei jogja ada menu all you can eat. Tempatnya juga nyaman. Sushinya fresh tapi entah kenapa masing2 menu sushi rata-rata rasanya sama. Justru lebih suka dengan menu grilled salmonnya.,comfort choice nyari sushi tarik sushi tei jogja menu all you can eat tempat nyaman sushinya fresh menu sushi suka menu grilled salmon,1,Positif
Alpon Munthe,10 bulan lalu,Sushinya paling the best,sushinya the best,0,Netral
M M,10 bulan lalu,Pastinya enak. Tapi sudah jarang ke sini karena ada tempat-tempat lain. :),pasti enak jarang,4,Positif
Elizabeth Danny Girsang,10 bulan lalu,Semua suka..,suka,2,Positif
Lutfia Rahmannisa,10 bulan lalu,Nyamaaan banget! Pelayanannya ramah jadi makin betah. Kalau kualitas sushinya gak diragukan lagi lah ya. …,nyamaaan banget layan ramah betah kualitas sushinya gak ragu ya,6,Positif
Chowa Remi,10 bulan lalu,"Pecinta sushi wajib ke sini lah,karena nuansa dan citarasa jepangnya sangat terasa,ada banyak menu mulai makanan pembuka sampai penutup,pelayananya pun snagat juara,ada free sushi untuk yang ulang tahun,staff nya juga sangat helpfull.monggo mampir",cinta sushi wajib nuansa citarasa jepangnya menu makan buka tutup pelayananya snagat juara free sushi ulang staff nya helpfull monggo mampir,3,Positif
Dicka Surya,10 bulan lalu,Pelayanan bagus! Terima kasih untuk Pak pramusaji yang berlari ke arahku di jalan dan membawakan kembali kartu debitku yang kutinggalkan🙏🏽⭐️⭐️⭐️⭐️⭐️ …,layan bagus terima kasih pramusaji lari arah jalan bawa kartu debit tinggal,-8,Negatif
Vincentius Richard,10 bulan lalu,"Secara keseluruhan, Sushi Tei masuk dalam kategori best sushi in town menurut saya. Walaupun harga sedikit di atas, tetapi worth dengan rasanya.
Namun ketika saya datang saat event All You Can Eat kemarin, saya kurang puas …",sushi tei masuk kategori best sushi in town harga worth event all you can eat kemarin puas,3,Positif
Muhammad Mukhlasin Fatani,11 bulan lalu,AUCE hari jadi mereka,auce,0,Netral
Asri's,11 bulan lalu,"Sushi tei gak perlu dipertanyakan lagi gak sih? Wkwkkw
Pelayanannya oke banget, waiter nya tanggap responsif. Tapi yg kurang itu banyak menu yg gak ready, 3x waiter nya bolak-balik buat nyaranin ganti menu 😩 …",sushi tei gak gak sih wkwkkw layan oke banget waiter nya tanggap responsif yg menu yg gak ready x waiter nya bolak nyaranin ganti menu,5,Positif
Ray March Syahadat,11 bulan lalu,"di pusat kota. Waktu terbaik berkunjung adalah pada hari kerja, menjelang sore hari. Banyak sekali siswa yang datang btw.",pusat kota baik kunjung kerja jelang sore siswa btw,12,Positif
andri maryono,11 bulan lalu,Bagus,bagus,-2,Negatif
Dhias Tedjo,11 bulan lalu,Yummy semua,yummy,0,Netral
Mechan Wong,11 bulan lalu,Tempat FAV😍 …,fav,5,Positif
Nagara B S,11 bulan lalu,"Makanan:
Masih ramah di lidah orang yang nggak bisa dengan budaya wibu. …",makan ramah lidah orang nggak budaya wibu,3,Positif
Dwi Nur Fitriana,11 bulan lalu,Mungkin bisa ditambah area bermain buat anak2 🥰 …,tambah area main anak,0,Netral
Budi prasetyo,11 bulan lalu,Pelayanan ramah,layan ramah,2,Positif
Ahmed Bistami,11 bulan lalu,"Rasa emang enak, tempat juga ok, tapi pelayanan nya lumayan lama, minta buku menu harus minta 2x baru dateng, minum datengnya pas susinya udah mau habis, minta keluarin deaset harus minta 4x baru dateng 😔🤕😢 …",emang enak ok layan nya lumayan buku menu x dateng minum datengnya pas sus udah habis keluarin deaset x dateng,4,Positif
Aprilummu FakhriFattanFatirFaqih,11 bulan lalu,"harga sesuai dengan makanannya,tempat mewah dan pelayanan ramah ,hamil dan tidak hamil makan disini bersama anak2 dan suami",harga sesuai makan mewah layan ramah hamil hamil makan anak suami,-5,Negatif
