username,tanggal_ulasan,komentar
Asarizq Fatihah Rasjava,9 bulan lalu,"Sushi ter-worth it yang pernah aku coba. Selalu ada special offer tiap kesana. Jadi langganan kalau lagi ultah, buat claim sushi gratisnya 🍣🍤 …"
Ro'ul Hikmahsari,9 bulan lalu,"Pertama kali ke sushi tei, suka sekalii dg menu-menunya, pelayanannya, dan tempatnyaa"
Raraqyut Goezies,9 bulan lalu,
chus batara,9 bulan lalu,"Join ayce disini dan worth to rejoin sih. Ditambah dikasih suprise birthday cake. Kali ini semuanya fresh. Jangan downgrade lg ya, pertahankan!"
Kuwat Budisantoso,9 bulan lalu,"Kamar bersih dan bagus, cuma satpam kurang ramah ke pengguna motor, saya menginap lama naik motor tapi tiap hari sambutannya tdk ramah sekali, padahal naik motor, mobil bayar nya sama."
Pinto Raharjo,9 bulan lalu,
Henk van Walsem,9 bulan lalu,
Jean pierre Pons,9 bulan lalu,"Tanpa alkohol, bahkan bir Jepang pun tidak"
Septo Sulistyo,9 bulan lalu,Padahal didalem kosong ojol disuruh nunggu diluar
Purnomo Edi Sptro,9 bulan lalu,
Satrio wcs,9 bulan lalu,"Sudah menjadi customer Sushi Tei di berbagai kota di Indonesia tetapi disinilah yg paling mengecewakan. Butuh waktu krg lebih 1 jam utk semua pesanan jadi. Butuh komplain berkali kali bahkan sampai memanggil manager utk pesanan datang. Ketika makanan sampai, sudah terlanjur badmood dan tdk bisa menikmati makanan."
Ghani G Garaudy,9 bulan lalu,Sushi Tei emang udah nggak perlu diragukan. Udah nggak ada lagi yang perlu dikomentari. Selain rasa puas yang luar biasa.
Intan TK,9 bulan lalu,Tempatnya enak dan nyaman
Rosy Ghs,9 bulan lalu,
Bella Aprialim,9 bulan lalu,"Pelayanan memuaskan, soal rasa jgn di tanya enak banget as always mantapp"
Wulan Permatasari,9 bulan lalu,
M Lukman K,9 bulan lalu,Makanan enak
Syifa Alea,9 bulan lalu,sushi nya super enakkkk!! ambience nya bagus and comfy.
Rini Syifa,9 bulan lalu,Suka banget sama tempatnyaaaa .... bersih dan pelayannanya okeeeee beut
Arifa Yuliyana,9 bulan lalu,Tempatnya nyaman sekali
Antonius Setya,9 bulan lalu,
Nurmas Ramadhan,9 bulan lalu,"Pesanan terlalu lama
Hanya pesan 1 item saja waktu tunggu set jam lebih"
pradnyani angelia,9 bulan lalu,
Anggraeni Anggraeni,9 bulan lalu,Tempat bagus dan porsi bagus
Alice Keys,9 bulan lalu,Staf Rama
ABDUS SALAM,9 bulan lalu,
Sony Adam Saputra,9 bulan lalu,"Akhirnya aku memberanikan diri untuk sendirian ke sini. Iya, sendirian. Turns out ternyata ada juga kok yang sendirian juga. It's normal jebul, sing penting duwe dit saja. Nggak shock karena memang sudah berekspektasi begitu. Satu plate …"
Rosvi Khansa Windi Bahari,9 bulan lalu,"Pelayanan sangat ramah, suasana juga sangat cozy dan mendukung, sangat cocok utk makan bersama keluarga"
M Syaikhul Arif,9 bulan lalu,Sepadan dengan harganya
yunianto tri nugroho,9 bulan lalu,Layanan luar biasa
darmawan pramudya,9 bulan lalu,
Nurul Karima Eva Dewi,9 bulan lalu,Tempat nyaman dan pelayanan baik
Suci Puspita Sari,9 bulan lalu,pelayanan sangat ramah tempatnya juga bagus dan bersih
Amirul Ikhsan,9 bulan lalu,Tempat yang bagus dan makanan lezat
Restu Maharany Arumningtyas,9 bulan lalu,
Ken Nindyasmara,9 bulan lalu,restoran favorit saya. Menu sangat enak. Favorite saya adalah salad kanimayo dengan sesame dressing. Pelayanan sangat ramah dan baik. Suasana Sushi Tei sangat mendukung untuk me time atau family time.  Sushi tei emang tiada duanya
Gunung Maharddhika,9 bulan lalu,"makanan sudah pasti berkualitas, suasananya enak dan desain interiornya juga baguss"
Susan Agustina,9 bulan lalu,Selalu bagus. Salah satu restoran favorit kami.
Lambert Sitanaja,9 bulan lalu,
Sonia Prabowo,9 bulan lalu,Sushi Tei kan selalu jadi pilihan terpercaya keluarga kami ❤
Nany Sarif,9 bulan lalu,Sushitei Amplaz ..suasana nyaman banget n staf yg melayani ramah sekali n namanya Grace
Sutantri Sutantri,9 bulan lalu,Suka makanan dan tempatnya! Sangat nyaman!
rizky imansari,9 bulan lalu,Tempatnya nyaman sekali. Pelayanannya juga ramah dan sangan menyenangkan
Luni Aulia,9 bulan lalu,"Makanannya selalu enak, fresh, dan pelayanannya sangat baik. Resto juga sangat cantik"
DOTA,9 bulan lalu,"Ambience nya unik, staff nya ramah, good job"
ANISAH DARUMEUTIA,9 bulan lalu,
Sals,9 bulan lalu,Tempat luas dan nyaman banget. Kesini juga mau claim birthday sushi dan dapetnya satu sushi gitu beda kayak sushi tei yang dijakarta tapi gapapa sama2 enak semua. Pelayanan juga ramah banget dan gak terlalu lama nunggu pesanan dateng. Bisa request dessertnya diakhir
Yiska R.,9 bulan lalu,Sushi Tei tempat makan Jepang yang enak banget pokoknya! Semua pelayanannya dikerjakan dengan ramah.
christina paramita,9 bulan lalu,"Gak ada deretan sushi di sushi bar spt sushi tei lainnya. Nunggunya sgt lama, katanya ada mslh kompor.. hemmm"
Uky Triwibowo,10 bulan lalu,
langit ramadhan,10 bulan lalu,"Soal rasa itu selera, mungkin pas apesnya dapat isi makanan yg tidak segar ingredientnya, ntah karna handling penyimpanan bahannya tidak benar. Kuah ramennya enak, gurih, dapat rasa lautnya, sayang bagian toppingnya (yg modelan pola naruto) …"
Morieti 1914,10 bulan lalu,
Nuzul Vitry,10 bulan lalu,
drh. Agus Riyanto,10 bulan lalu,Bagus...
ulsa nuzulil,10 bulan lalu,
Widhyastuti Harsana,10 bulan lalu,
Faisal Aditya,10 bulan lalu,
Sari Purna Wati,10 bulan lalu,"Ada beragam menu,, bikin bingung sepertinya enak semua."
Yanz Krist,10 bulan lalu,
Titus Anggito,10 bulan lalu,"Kualitas makanan dan layanan sesuai dengan harga yang kita bayarkan...
Makanannya semua enak.. tempatnya nyaman...."
Dea Florensia,10 bulan lalu,"Suasana enak dan nyaman, ambiencenya beda sm yg di dalem mall"
doni febria,10 bulan lalu,Tempat makan Jepang terbaik. Sushi dan sashimi nya komplit dan segar. Terbaik pokok nya
Novpie,10 bulan lalu,
emanuel andre,10 bulan lalu,
Astika Puspasari,10 bulan lalu,
Eva Maria Siti,10 bulan lalu,
Irawan DJ,10 bulan lalu,
Warsono Hadisubroto,10 bulan lalu,"Sebenernya enak. Enak banget, bahkan.

Tapi mahal. Serasa ke Jepang bolak-balik buat makan sushi. Tentu ini hiperbolik …"
agustina setyaningrum,10 bulan lalu,Menunya semakin variatif and the best sushi in jogja 😊 …
Ayolla S,10 bulan lalu,
Milla Mumtaza,10 bulan lalu,
DLH,10 bulan lalu,
Dewi Anurogo,10 bulan lalu,"Makan pas auce. Mantap sih,"
Aram Roquas,10 bulan lalu,"Banyak pilihan makanan berkualitas yang merupakan satu-satunya kelebihannya. Selain itu, sangat mahal untuk pengalamannya. Dengan interior yang sangat hambar dan cara mereka menempelkan tanda terima kertas di meja Anda untuk melacak makanan …"
Annisa dwi,10 bulan lalu,
Awalia Zian Noviana,10 bulan lalu,
Babe Smile,10 bulan lalu,
Nuvy Lives,10 bulan lalu,
Yosefin Ekaristi,10 bulan lalu,Sushi salmon dengan cakalang abon sangat asin tetapi makanan lainnya sangat enak. Pelayanannya juga bagus.
Regina Stefani,10 bulan lalu,"LayananNy paling suka, dijelasin semua promo2 dan diskon. Apalagi pas ada all u can eat kan ruame, tapi semua pelayanannya sesuai biasanya. Tdk ada yg berubah👍👍👍 salut skali …"
Rista Sanjaya,10 bulan lalu,Comfort choice kalau nyari sushi. Menariknya di sushi tei jogja ada menu all you can eat. Tempatnya juga nyaman. Sushinya fresh tapi entah kenapa masing2 menu sushi rata-rata rasanya sama. Justru lebih suka dengan menu grilled salmonnya.
Wanda Damara Putri,10 bulan lalu,
Alpon Munthe,10 bulan lalu,Sushinya paling the best
M M,10 bulan lalu,Pastinya enak. Tapi sudah jarang ke sini karena ada tempat-tempat lain. :)
Elizabeth Danny Girsang,10 bulan lalu,Semua suka..
Lutfia Rahmannisa,10 bulan lalu,Nyamaaan banget! Pelayanannya ramah jadi makin betah. Kalau kualitas sushinya gak diragukan lagi lah ya. …
Chowa Remi,10 bulan lalu,"Pecinta sushi wajib ke sini lah,karena nuansa dan citarasa jepangnya sangat terasa,ada banyak menu mulai makanan pembuka sampai penutup,pelayananya pun snagat juara,ada free sushi untuk yang ulang tahun,staff nya juga sangat helpfull.monggo mampir"
Arwendra Adi,10 bulan lalu,
Bakhoh Jatmiko,10 bulan lalu,
Trisetiana Kusumadewi,10 bulan lalu,
Bayu A.,10 bulan lalu,
angie,10 bulan lalu,
Dicka Surya,10 bulan lalu,Pelayanan bagus! Terima kasih untuk Pak pramusaji yang berlari ke arahku di jalan dan membawakan kembali kartu debitku yang kutinggalkan🙏🏽⭐️⭐️⭐️⭐️⭐️ …
Regia Anadhia,10 bulan lalu,
Nugraha Abdillah,10 bulan lalu,
Novita Kurniawati,10 bulan lalu,
Abri Abrianto,10 bulan lalu,
Vincentius Richard,10 bulan lalu,"Secara keseluruhan, Sushi Tei masuk dalam kategori best sushi in town menurut saya. Walaupun harga sedikit di atas, tetapi worth dengan rasanya.
Namun ketika saya datang saat event All You Can Eat kemarin, saya kurang puas …"
Zulfa Anturida,10 bulan lalu,
alifasz,10 bulan lalu,
Muhammad Mukhlasin Fatani,11 bulan lalu,AUCE hari jadi mereka
Asri's,11 bulan lalu,"Sushi tei gak perlu dipertanyakan lagi gak sih? Wkwkkw
Pelayanannya oke banget, waiter nya tanggap responsif. Tapi yg kurang itu banyak menu yg gak ready, 3x waiter nya bolak-balik buat nyaranin ganti menu 😩 …"
Ray March Syahadat,11 bulan lalu,"di pusat kota. Waktu terbaik berkunjung adalah pada hari kerja, menjelang sore hari. Banyak sekali siswa yang datang btw."
Ganang N. Tama,11 bulan lalu,
Intan Wisma,11 bulan lalu,
andri maryono,11 bulan lalu,Bagus
Sekar Satriani,11 bulan lalu,
Dhias Tedjo,11 bulan lalu,Yummy semua
Stevani Kurniawan,11 bulan lalu,
Sherina Dn,11 bulan lalu,
Muh Irfan,11 bulan lalu,
Toni Hart,11 bulan lalu,
Kika SiS,11 bulan lalu,
Yani Wid,11 bulan lalu,
Yasmine Ajah,11 bulan lalu,
Mechan Wong,11 bulan lalu,Tempat FAV😍 …
magnus bayu,11 bulan lalu,
Irma Praziska,11 bulan lalu,
Nagara B S,11 bulan lalu,"Makanan:
Masih ramah di lidah orang yang nggak bisa dengan budaya wibu. …"
Dwi Nur Fitriana,11 bulan lalu,Mungkin bisa ditambah area bermain buat anak2 🥰 …
Aufaria Fakhrana,11 bulan lalu,
rosyadi akbarri,11 bulan lalu,
Ahmad Muzakki,11 bulan lalu,
ardiansyah danu,11 bulan lalu,
Budi prasetyo,11 bulan lalu,Pelayanan ramah
Ahmed Bistami,11 bulan lalu,"Rasa emang enak, tempat juga ok, tapi pelayanan nya lumayan lama, minta buku menu harus minta 2x baru dateng, minum datengnya pas susinya udah mau habis, minta keluarin deaset harus minta 4x baru dateng 😔🤕😢 …"
Aprilummu FakhriFattanFatirFaqih,11 bulan lalu,"harga sesuai dengan makanannya,tempat mewah dan pelayanan ramah ,hamil dan tidak hamil makan disini bersama anak2 dan suami"
Anastasia Nindya,11 bulan lalu,Terbaik!
Haryo Seto Razad,11 bulan lalu,Tidak pernah gagal
Anantia Sari,11 bulan lalu,
novachrono pradipta,11 bulan lalu,"Ikannya kecil dan tipis banget, gk kayak sushi waktu saya ke genki sushi di amplaz🤣. padahal harganya sama, menunya sama. Lebih ke ngejual mayo sama condiment ternyata. Padahal kalo dijepang yang diutamakan ikannya. Kapok deh nyobain resto lokal, bahan yang dipake murah untuk dijual dengan harga yang mahal😂 …"
wahyu diningsih,11 bulan lalu,
firda oktoviana,11 bulan lalu,
Sugiarto Tjong,11 bulan lalu,Merayakan ultah di sini dapat sushi khusus dan ucapan selamat dari 4 staf. Terima kasih atas perhatiannya.  Kualitas makanan selalu terjaga dengan baik. Meski termasuk cukup mahal tapi sesuai dengan servis yg diberikan.
Honda Plafon Jogja,11 bulan lalu,
Panji Gumilang,11 bulan lalu,
Abrian Satria Hutama,setahun lalu,Favorit deh
Naning Kurniasari,setahun lalu,
Aqila Motor,setahun lalu,Buat ojol siap2 nunggu di luar g cocok langsung censel makanan tidak tersedia
Chalista Maharani,setahun lalu,
Mr. Phend,setahun lalu,
Yunisa Ratna Resti,setahun lalu,"Sebagai warga purworejo, tidak sia-sia berpuluh puluh kilometer demi sushi se nikmat ini 😍 …"
Chiquitha Tiara Fithiadi Sedjati,setahun lalu,"Tempatnya mewah dan nyaman, servicenya oke. Servernya ramah dan cekatan semua.

Makanannya nyoba kayak salmon roll pake saus keju, sayang saus kejunya terasa …"
Eki Rusmayanti,setahun lalu,
Andi Wahyu Kristianto,setahun lalu,"Menjual banyak pilihan menu makanan Jepang. Pelayanan ramah.
Makanan disini bisa juga dipesan melalui layanan aplikasi online"
Retno Sarosa,setahun lalu,
nurul amalia Noy,setahun lalu,
roziomi note,setahun lalu,
Habibah Tulillah,setahun lalu,Sushi Tei Jogja sering-sering ya bikin serba 25rb nya.
Hanny Prassetyo,setahun lalu,
Syafa Nurul Maulidiyah,setahun lalu,
Poison Eve,setahun lalu,
Kukuh Arta,setahun lalu,
Tiara Amanda Putri,setahun lalu,
vema novitasari,setahun lalu,
Elfira Zidna A,setahun lalu,"Ramai, sebisa mungkin reservasi. Jika tidak, menunggu sekitar 15-20 menit untuk dapat tempat. Pelayanan lumayan cepat. Parkir bayar 10k untuk mobil."
Azz,setahun lalu,"baru duduk sebentar udh liat ada pegawai mecahin gelas, saya maklumi, tapi ga lama setelah itu ada pegawai lain yg mecahin gelas juga. komunikasi nya kurang bagus, saya nambah dessert udh nunggu lama & nanya berkali"" sampai mau tutup baru …"
Bagus Surya,setahun lalu,
Novera Putri,setahun lalu,
Meta An Nazzila,setahun lalu,Selalu jadi tempat aman kalo mau makan sushi ampe kenyang bego ✨✨
Zaldiansyah Perdana,setahun lalu,
K. Wibowo,setahun lalu,
Tantiana,setahun lalu,"Pelayanan Sushi Tei nggak usah diragukan lagi lah ya, selalu totalitas dan mas-mbaknya super ramah. Tempatnya bersih, luas (ada area smoking dan non-smoking), dan tentunya nyaman. …"
Jimmy Purnomo,setahun lalu,Enak
Hadi Esthree,setahun lalu,Rasa ok  pelayanan ok
ISA HARD,setahun lalu,
witoyo yoyo (H.YOYO),setahun lalu,Mantap sajian dan pelayanan nya
Amalia Ayunda Putri,setahun lalu,
Rahmat Faozi,setahun lalu,Pelayanan Ramah
sakhnaz rizki,setahun lalu,"Worth every pennies. Service, staff helpful banget, utk makanan semuanya fresh. Masukan utk staff di deket sushi bar dan kitchen, kurang2in ngobrol sama ketawa2 kenceng apalagi lagi ada customer. Ga sopan. I spent a lot bukan buat dengerin kalian ngobrol gosip ketawa ketawa."
mutiah triastuti,setahun lalu,
Fajar Kurniawan,setahun lalu,
Berryatna Eka Putra,setahun lalu,
Sanne Offermans,setahun lalu,Sushi tidak seperti yang seharusnya. Mereka menggunakan banyak bahan-bahan murah. Tidak bagus dan tidak akan pernah kembali.
Mayank Sumarnie,setahun lalu,
ardi anggara,setahun lalu,"semuaa mantabb ,makanan dan service , tetapi tidak semua sift ramahh, karena saya sering ke sinii,
semoga semua sift seperti sift yang mantapp 💪🏽💪🏽 …"
Cherly Dwi qarlina,setahun lalu,
Anggita Aulianie,setahun lalu,
kuncoro aji nugroho,setahun lalu,Tisunya mantap nggak bikin keras
Syech Al Zildjian,setahun lalu,"Ini adalah cabang Sushi Tei terburuk menurut saya yang tidak mewakili nama besar Sushi Tei.
Saya telah mengunjungi cabang secara nasional. …"
Hapsari Puspa Ningrum,setahun lalu,
Pia Effendy,setahun lalu,
Valdi Samuel Bawadiman,setahun lalu,Bikin kangen surabaya
Bagas Hutama,setahun lalu,
Hafif Jusuf,setahun lalu,A little bit dissapointed here. Setiap saya ke sushi tei di kota lain pasti selalu ditanya lg birthday atau tidak. Tapi disini enggak. …
Galuh Nodia,setahun lalu,
Tiara Praditasari,setahun lalu,"Pelayanan ok, harga murah, makanan enak"
Anissa Dewanti,setahun lalu,"Makanan segar dan enak, pelayanan prima, dan lingkungan bersih."
Omar Reda,setahun lalu,
Jong Sung Kim,setahun lalu,
Cornelius Felix,setahun lalu,Baru pertama ketempat ini sebagai driver gojek sudah buat tidak mood. Datang ke resto tanya ke satpam atau bukan bilangnya suruh nunggu diluar saja. Padahal sudah nunggu 30menitan tidak ada barang yg diberikan. E tahunya ada driver lain …
Ahmad Afandi,setahun lalu,
Skorandhi Dhane,setahun lalu,hidangan penuh dengan rasa yang luar biasa unik. Menyajikan hidangan seperti negara asalnya.
Dwi Nurdianto,setahun lalu,"Kasian kali driver online mana orderannya banyak nunggunya lama suruh nunggu diluar panas , padahal sama sama beli 😅 …"
Yunanto Yunanto,setahun lalu,
iJham Widian,setahun lalu,
Renand Arteja,setahun lalu,"banyak pilihan, penyajian cepat, pelayanan yang baik, harga sesuai."
Tiara Melodi Megantara,setahun lalu,
Natasha Aurel,setahun lalu,Favorit sepanjang masa!!! <
Joshua Tedjasurya,setahun lalu,
hirawan widhiarto,setahun lalu,
Tria Yulisa Is Diarti,setahun lalu,
affandi Nr,setahun lalu,
Prakasita Sarah,setahun lalu,
Baituva Afdhala,setahun lalu,"Sebenernya ngereview sushi tei tu ga perlu ya😅 udah jelas enaknya! Secara dr harga juga mantap betul! Sekali nyobain sashimi sushi tei, bakal susah nyari sashimi di tempat lain, karena ga akan se enak sushitei! Irisannya yg lembut, daging …"
andrei sebastian,setahun lalu,
Barbara Gunawan,setahun lalu,
Gisella Angel,setahun lalu,"tempat nyaman, service oke, makanan oke"
Adhi Wijayanto,setahun lalu,"Restoran sushi yang selalu ramai pengunjung,tempatnya mewah dan bersih"
Claude Hu,setahun lalu,
arif kurniawan,setahun lalu,
Uzzy Fauziah,setahun lalu,"Layanannya memuaskan, makanan juga fresh semua"
Natalia Tiara,setahun lalu,
dhanny tantri,setahun lalu,
Lala Putri,setahun lalu,
Hut of Ela,setahun lalu,Semuanya luar biasa.
zhafizky Bian,setahun lalu,Rasa terbaik
Avivah Rahmaningtyas,setahun lalu,"Dengan harga segitu, menunya memang melebihi ekpektasi. Dessertnya chocolate ice cream enak banget. Kalo makanan, favoritku Gekikara Cheese Saikoro Steak. Ada musholanya juga."
R M,setahun lalu,
Anggito Satya Raharjo,setahun lalu,sushi yang lumayan mahal tapi rasanya sangat terjamin
Gregorious Wahyu Djatmiko,setahun lalu,
arif waluyo,setahun lalu,
Irkhas Bayu Faveryan,setahun lalu,
rangga arya,setahun lalu,
Devina Hameka,setahun lalu,
Mikio Tsunemi,setahun lalu,"Sushi Jepang selalu dibuat dengan cuka sushi. Wasabi juga baru digiling dan ditempatkan di antara topping dan sushi. Sayangnya, hal ini tidak terjadi di toko ini. Dulu, dulu ada seorang juru masak Jepang yang mengelola restoran, namun …"
Muamaroh Husnantiya,setahun lalu,"Semuanya terasa sangat segar dan lezat, mulai dari acar jahe l, salad, sampai makanannya. …"
Budi PR,setahun lalu,
Albi dan Abi,setahun lalu,
Lavinda Zulfa Husnadhifa,setahun lalu,
Emma Natasha Octoveria,setahun lalu,
Dey Snow,setahun lalu,Enak udh gt aja tp susah bgt cari ikan shishamo nyaaa abis mulu
Nabila Marendra,setahun lalu,"Baru tau ada sutei yg outletnya gede dan ga didalem mall wkwkw rasanya lebi ena yg ini drpd outlet yg di dalem mall, tempatnya jg nyaman bgt. Takoyakinya mantep bgttt ⭐ 10/10"
Sitta Puteri,setahun lalu,"Pasti salah satu tempat terbaik untuk makan sushi. Segar, enak, dan nyaman. Layanan mereka luar biasa, sangat ramah dan penuh senyum. Makanan favoritku Ebi Mentaiko, oh jatuh cinta 😍😍 …"
Daltonezt Jr,setahun lalu,
Fadillah Aziz Kurnia Putra,setahun lalu,
Hi Day25,setahun lalu,Menunya lumayan mahal2. Ini buat kasta menengah ke atas emang. Tapi rasa dari rating 1 sampai 10 aku nilai 6. ☺️
Dyah Yudistira,setahun lalu,Asyiiik banget tempatnya 🤍 …
Bernard Priyo,setahun lalu,Sering kesini suplayer bahan chemical
Irfan Syaf,setahun lalu,
Zubaidah N,setahun lalu,
Achmad Rizal,setahun lalu,
Jeno Kim,setahun lalu,"Parkir sulit, dan staf menyambut kami dengan keras dalam bahasa Jepang, yang membuat anak-anak kami takut. Bertentangan dengan sapaan yang keras, stafnya tidak ramah dan lingkungan sekitarnya berantakan dan berisik. Rasanya terlalu manis …"
Kayte Webb,setahun lalu,Ini adalah sushi Jepang otentik yang super lezat - layanan makanan bintang 5 dan harga wajar - sangat direkomendasikan!
Foni Klein,setahun lalu,"Kami semua sakit setelah makan sushi di sini, sangat mengecewakan. Ikan pasti dapurnya buruk atau sangat tidak higienis. Stafnya bagus tapi makanan datang sangat lambat"
Margaux Perrussel,setahun lalu,Jauh lebih baik sebelumnya untuk makanan
Dyah Kusumaningrum,setahun lalu,"Pilihan menu banyak, pelayanan oke bangett, ambiance juga bikin nyaman, salah satu tempat makan sushi fav!!"
adi abdul aziz,setahun lalu,
Dicky C. Muharawan,setahun lalu,Restoran Sushi terbaik di Yogyakarta
